Height,Weight
67.56,107.7
65.57,107.71
66.61,107.72
68.31,107.72
64.56,107.73
64.58,107.73
65.26,107.73
65.61,107.73
66.82,107.73
66.94,107.73
68.75,107.73
65.71,107.74
66.53,107.74
68.02,107.75
67.34,107.76
68.66,107.76
66.53,107.77
66.96,107.77
67.89,107.77
66.23,107.78
66.78,107.78
65.53,107.79
65.68,107.79
67.58,107.79
66.82,107.8
67.83,107.8
68.84,107.8
69.5,107.8
66.14,107.81
65.96,107.82
66.59,107.82
70.18,107.83
65.24,107.84
65.96,107.84
66.31,107.84
69.49,107.85
66.39,107.86
66.52,107.86
66.65,107.87
67.17,107.87
68.03,107.87
66.82,107.88
67.14,107.88
67.66,107.88
64.43,107.89
64.99,107.89
66.14,107.89
66.2,107.89
68.66,107.89
65.98,107.9
67.45,107.9
66.73,107.91
67.09,107.91
65.73,107.92
67.54,107.92
66.26,107.93
67.24,107.93
65.3,107.94
66.85,107.94
67.77,107.94
69.31,107.94
65.57,107.95
67.33,107.95
68.04,107.96
65.54,107.98
66.2,107.98
67.75,107.98
67.99,107.98
68.17,107.98
67.35,108
66.18,108.01
65.46,108.02
67.99,108.02
65.17,108.03
65.54,108.03
65.98,108.03
66.71,108.05
66.91,108.05
67.17,108.06
68.91,108.06
64.26,108.07
66.67,108.07
68.31,108.07
67.21,108.08
67.69,108.08
65.14,108.09
63.73,108.1
65.45,108.1
65.65,108.1
66.31,108.1
68.1,108.1
67.95,108.11
68.45,108.11
62.53,108.12
66.25,108.12
66.73,108.12
66.92,108.12
68.13,108.12
63.87,108.13
65.26,108.13
65.89,108.13
66.34,108.13
66.56,108.13
66.28,108.14
67.87,108.14
68.49,108.15
65.58,108.16
66.68,108.16
68.82,108.16
64.86,108.17
70.49,108.17
64.3,108.19
65.29,108.19
66.03,108.19
69.18,108.19
65.69,108.2
65.72,108.21
62.67,108.22
64.3,108.22
67.95,108.22
65.65,108.23
67.17,108.24
65.29,108.25
68.81,108.25
65.48,108.26
65.5,108.26
66.99,108.26
67.74,108.26
65.65,108.27
65.91,108.27
67.94,108.27
67.29,108.28
65.88,108.29
66.45,108.29
65.45,108.3
66.41,108.3
69.69,108.3
66.24,108.31
66.46,108.31
65.05,108.32
67.92,108.32
64.19,108.33
66.53,108.33
65.49,108.34
66.14,108.34
68.2,108.34
69.04,108.34
65.54,108.35
63.93,108.36
64.7,108.36
66.51,108.36
66.83,108.36
63.6,108.37
67.37,108.37
64.02,108.38
66.61,108.39
66.67,108.39
64.75,108.4
67.02,108.41
65.63,108.42
65.7,108.42
67.4,108.42
68.12,108.42
68.55,108.42
65.26,108.43
66.39,108.44
66.69,108.44
68.32,108.45
64.88,108.46
68.86,108.47
66.61,108.48
65.21,108.49
65.92,108.49
66.13,108.5
66.56,108.5
70.65,108.5
64.69,108.51
64.41,108.52
66.03,108.52
69.6,108.52
68.06,108.54
64.74,108.56
67.03,108.56
68.38,108.57
70.08,108.57
68.53,108.59
64.66,108.6
66.03,108.6
66.28,108.6
67.39,108.6
63.88,108.61
68.21,108.62
68.64,108.62
67.63,108.63
69.76,108.63
64.64,108.64
65.07,108.64
66.51,108.64
65.09,108.65
65.17,108.65
67.14,108.65
65.12,108.66
67.46,108.66
67.84,108.66
68.12,108.67
66.26,108.68
67.26,108.69
64.74,108.71
67.23,108.71
68.06,108.71
68.55,108.71
68.84,108.71
66.28,108.72
66.66,108.72
67.25,108.72
68.31,108.72
65.57,108.73
66.92,108.74
66.19,108.75
67.15,108.75
64.71,108.76
68.28,108.76
64.68,108.77
66.28,108.77
65.51,108.78
67.5,108.79
65.83,108.81
66.45,108.81
65.1,108.82
67.04,108.82
69.01,108.82
68.23,108.83
65.66,108.84
65.94,108.84
67.3,108.84
64.04,108.85
66.26,108.85
67.16,108.85
60.87,108.86
64.88,108.86
65.92,108.86
66.62,108.86
66.77,108.86
65.33,108.87
62.64,108.88
64.39,108.88
64.6,108.88
64.12,108.9
65.46,108.9
63.35,108.91
65.35,108.91
65.47,108.91
65.88,108.91
67.7,108.91
65.66,108.92
66.34,108.92
66.71,108.92
66.89,108.92
67.29,108.92
69.06,108.92
66.31,108.94
64.98,108.95
66.27,108.95
66.29,108.95
67.7,108.95
69.48,108.95
64.82,108.97
67.38,108.97
63.75,108.98
66.46,108.98
66.76,108.98
66.76,108.98
66.93,108.98
66.65,108.99
67.53,108.99
67.88,108.99
69.83,108.99
64.46,109.01
66.24,109.01
66.45,109.01
67.21,109.01
63.82,109.02
66.41,109.03
65.9,109.04
66.45,109.04
68.96,109.04
63.27,109.05
66.69,109.05
67.77,109.05
69.86,109.05
66.79,109.06
68.09,109.06
66.75,109.07
67.89,109.07
62.02,109.08
65.15,109.08
65.83,109.08
66.68,109.08
68.2,109.08
63.44,109.1
65.84,109.1
67.2,109.1
65.76,109.11
66.3,109.12
66.88,109.12
67.56,109.12
67.62,109.12
65.13,109.13
66.83,109.13
64.85,109.14
67.12,109.14
67.81,109.14
66.61,109.15
64.57,109.17
65.94,109.17
66.25,109.17
66.78,109.17
67.45,109.17
68.25,109.18
63.83,109.19
64.99,109.19
68.12,109.19
65.31,109.2
66.76,109.2
62.91,109.21
63.77,109.21
64.21,109.21
69.28,109.21
66.77,109.23
66.49,109.24
68.53,109.24
64.97,109.25
65.66,109.25
67.88,109.25
67.14,109.26
65.01,109.27
65.1,109.27
65.6,109.27
66.53,109.27
63.7,109.28
66.44,109.28
64.28,109.29
64.53,109.29
67.45,109.29
69.33,109.29
64.62,109.3
64.96,109.3
67.03,109.3
67.15,109.3
66.1,109.31
67.13,109.31
64.09,109.32
66.22,109.32
66.75,109.33
63.46,109.34
66.47,109.35
67.63,109.35
68.15,109.35
67.41,109.36
67.93,109.36
68.71,109.36
65.38,109.37
65.63,109.37
68.93,109.37
64.74,109.38
66.98,109.38
67.22,109.38
67.4,109.38
68.1,109.38
68.28,109.38
69.88,109.38
65.65,109.41
66.86,109.41
68.4,109.42
69.75,109.42
63.48,109.43
64.53,109.43
64.09,109.44
66.33,109.44
68.47,109.44
64.38,109.45
65.35,109.45
66.43,109.45
67.09,109.45
67.69,109.45
64.61,109.46
68.93,109.46
66.53,109.47
68.81,109.47
68.16,109.48
68.17,109.48
65.96,109.49
68.92,109.49
65.58,109.51
65.75,109.51
66.5,109.51
66.87,109.51
69.14,109.52
64.22,109.53
65.24,109.54
66.8,109.54
64.33,109.55
65.93,109.55
68.63,109.55
62.45,109.56
64.25,109.56
64.48,109.56
66.12,109.56
63.2,109.57
64.51,109.57
65.6,109.57
65.94,109.57
66.18,109.57
68.53,109.57
69.22,109.57
62.53,109.58
65.07,109.58
66.56,109.58
63.39,109.59
64.76,109.59
65.45,109.59
66.11,109.59
65.21,109.6
65.8,109.6
66.02,109.6
66.92,109.6
67.93,109.6
64.55,109.61
65.63,109.61
68.22,109.61
66.89,109.62
67.08,109.62
64.19,109.63
65.76,109.63
66.34,109.63
66.4,109.63
69.04,109.63
66.5,109.64
66.81,109.64
67.57,109.64
67.84,109.64
65.84,109.65
66.51,109.65
66.93,109.65
64.01,109.66
65.41,109.66
65.72,109.66
66.92,109.66
64.72,109.67
66.39,109.67
66.66,109.68
68.63,109.68
65.27,109.69
66.17,109.71
66.5,109.71
67.14,109.71
66.09,109.72
67.92,109.72
68.4,109.73
64.27,109.74
67.28,109.74
67.85,109.74
64.5,109.75
66.01,109.75
69.53,109.76
63.08,109.77
63.7,109.77
64.06,109.78
65.29,109.78
67.37,109.78
68.93,109.78
65.18,109.79
65.95,109.79
66.8,109.79
67.53,109.79
67.79,109.79
63.47,109.8
64.06,109.8
65.59,109.8
66.31,109.8
65.21,109.81
66.22,109.81
66.99,109.81
66.24,109.82
68.38,109.82
69.21,109.82
69.55,109.82
64.91,109.83
68.12,109.83
65.44,109.84
68.21,109.84
68.33,109.84
68.65,109.84
66.65,109.85
67.49,109.85
67.69,109.85
68.08,109.85
66.61,109.86
68.39,109.86
63.1,109.87
63.7,109.87
66.26,109.87
64.39,109.88
67.55,109.89
68.11,109.9
68.73,109.9
69.25,109.91
