,SellerG,Discretized_Price
576,Brad,1
577,Nelson,1
579,Nelson,1
582,Nelson,5
587,Barry,5
590,Stockdale,5
591,Nelson,1
594,Jellis,2
597,Marshall,4
599,Jellis,2
601,Fletchers,2
607,Jellis,2
614,Marshall,5
615,Buxton,5
616,hockingstuart,4
619,Jellis,2
620,hockingstuart,2
623,Jellis,2
628,Marshall,2
630,Jellis,2
632,Jellis,2
642,Jellis,4
646,Jellis,5
650,Jellis,4
654,Jellis,2
659,Jellis,2
663,Jellis,2
665,Buxton,2
666,Jellis,2
667,Noel,5
669,Marshall,2
670,Jellis,2
673,hockingstuart,2
674,Tim,2
677,Marshall,2
685,Purplebricks,5
686,Jellis,5
688,Fletchers,2
690,hockingstuart,1
691,Fletchers,1
694,Fletchers,5
695,Tim,5
702,Ray,1
703,Jellis,2
705,Buxton,2
710,Buxton,2
714,Noel,1
722,Tim,5
724,hockingstuart,1
730,Fletchers,5
731,Jellis,5
733,Noel,5
739,Jellis,5
743,Buxton,5
745,Barry,1
748,Moonee,5
749,Moonee,1
750,Nelson,5
754,Nelson,5
760,Nelson,1
765,Moonee,1
769,Moonee,5
789,Nelson,1
790,Brad,5
792,Nelson,5
797,Nelson,1
799,Nelson,1
803,Edward,5
807,Nelson,1
812,Barry,1
815,Nelson,1
818,Nelson,1
823,Gary,2
824,hockingstuart,1
827,Gary,5
831,Buxton,1
832,Gary,1
833,Buxton,1
835,McGrath,5
836,Chisholm,1
838,hockingstuart,1
839,Buxton,5
840,McGrath,2
842,McGrath,1
847,Marshall,2
848,Marshall,2
849,Noel,5
850,Philip,5
853,RT,4
854,RW,4
857,Noel,1
858,Jellis,3
860,Noel,4
869,Marshall,4
874,Fletchers,2
881,Marshall,1
883,Marshall,1
884,Jellis,2
888,Jellis,2
890,Fletchers,1
895,hockingstuart,1
899,Kay,5
900,Ascend,2
901,Christopher,1
904,Jellis,5
910,Noel,2
913,Fletchers,4
916,Jellis,1
924,RT,4
930,Jellis,1
932,Fletchers,5
935,Noel,2
940,Marshall,1
954,Marshall,4
955,Noel,1
961,Jellis,4
968,Fletchers,4
969,Jellis,1
981,hockingstuart,2
982,Mandy,2
985,Jellis,4
987,Jellis,2
995,Jellis,4
998,Marshall,4
1001,hockingstuart,1
1005,Noel,2
1008,Marshall,2
1010,hockingstuart,5
1011,Jellis,2
1012,Jellis,4
1017,Noel,2
1018,hockingstuart,4
1019,Fletchers,2
1020,Marshall,4
1024,RW,4
1025,hockingstuart,5
1029,Kay,2
1030,Jellis,2
1031,Fletchers,4
1032,Fletchers,2
1038,Jellis,4
1041,Christopher,5
1048,hockingstuart,2
1054,Jellis,2
1055,Jellis,2
1059,RW,2
1061,RW,3
1065,Jellis,2
1067,Jellis,4
1068,Jellis,2
1070,Fletchers/One,2
1072,Marshall,4
1078,Noel,4
1085,Fletchers,2
1088,Noel,5
1090,Barry,4
1091,Fletchers,2
1093,RW,2
1095,Fletchers,2
1096,Jellis,2
1099,Fletchers,2
1104,Jellis,4
1106,Assisi,4
1110,Noel,2
1114,Marshall,2
1120,Fletchers,2
1121,Noel,2
1127,Marshall,3
1131,Fletchers,4
1135,Jellis,2
1137,Jellis,1
1141,Fletchers,5
1146,One,2
1156,Fletchers,5
1161,Marshall,5
1165,Fletchers,2
1167,hockingstuart,2
1171,Jellis,2
1184,Nelson,2
1185,Marshall,2
1186,RT,2
1190,Christopher,5
1194,hockingstuart,2
1202,Fletchers,2
1204,Fletchers,1
1211,hockingstuart,5
1217,Buxton,2
1218,hockingstuart,5
1219,Ray,5
1230,Buxton,5
1231,Buxton,1
1232,hockingstuart,2
1234,Buxton,5
1235,Buxton,4
1238,hockingstuart,2
1239,Buxton,5
1242,hockingstuart,5
1247,hockingstuart,5
1248,hockingstuart,5
1249,Buxton,5
1251,Buxton,5
1255,Marshall,5
1258,hockingstuart,1
1259,Buxton,2
1260,hockingstuart,4
1265,hockingstuart,5
1270,McGrath,2
1271,hockingstuart,1
1273,Buxton,5
1277,Woodards,5
1278,hockingstuart,5
1287,hockingstuart,5
1292,Buxton,5
1294,hockingstuart,1
1296,Buxton,1
1298,Buxton,5
1301,Buxton,5
1304,hockingstuart,2
1309,hockingstuart,1
1314,hockingstuart,2
1315,Buxton,5
1316,Buxton,4
1321,Woodards,2
1329,Buxton,1
1333,Bayside,1
1337,Buxton,5
1340,hockingstuart,2
1342,Buxton,2
1345,hockingstuart,5
1347,Buxton,2
1352,Buxton,4
1361,Buxton,1
1362,hockingstuart,1
1366,Buxton,5
1378,Woodards,5
1385,Woodards,1
1387,Hodges,5
1389,C21,5
1390,Buxton,1
1395,hockingstuart,5
1397,hockingstuart,5
1398,Woodards,5
1399,hockingstuart,5
1400,Buxton,5
1401,Woodards,5
1402,Buxton,1
1406,Buxton,5
1410,Gary,1
1412,Buxton,2
1421,Buxton,5
1425,Hodges,5
1426,hockingstuart,1
1433,Buxton,2
1434,hockingstuart,5
1435,Woodards,5
1449,Ray,5
1452,Buxton,5
1455,Buxton,5
1460,Woodards,1
1461,Buxton,5
1467,Buxton,1
1470,hockingstuart,1
1472,Hodges,5
1477,Woodards,5
1481,Buxton,1
1482,Buxton,5
1484,Buxton,5
1485,First,5
1489,hockingstuart,5
1490,Woodards,5
1492,Buxton,2
1494,hockingstuart,5
1497,Buxton,1
1498,Buxton,5
1502,Buxton,5
1504,Gary,2
1505,Woodards,1
1506,Beller,5
1511,Matthew,5
1517,C21,1
1523,Buxton,5
1528,hockingstuart,1
1529,Hodges,2
1530,Woodards,1
1534,Buxton,2
1536,Buxton,5
1537,Buxton,5
1538,hockingstuart,5
1539,Buxton,5
1540,Woodards,5
1541,Buxton,5
1545,Buxton,5
1546,Buxton,1
1548,Marshall,5
1550,hockingstuart,2
1559,Buxton,5
1560,Woodards,5
1563,hockingstuart,5
1565,hockingstuart,5
1566,hockingstuart,1
1568,Buxton,5
1569,hockingstuart,1
1571,hockingstuart,1
1572,RT,5
1573,Woodards,5
1575,Gary,5
1576,Hodges,2
1581,hockingstuart,5
1585,hockingstuart,1
1592,Buxton,1
1594,hockingstuart,2
1596,hockingstuart,1
1598,Nick,5
1609,Ray,5
1613,C21,5
1617,Buxton,5
1619,Buxton,5
1620,Gary,5
1622,hockingstuart,2
1623,hockingstuart,1
1628,hockingstuart,2
1630,McGrath,1
1638,Jellis,2
1641,Marshall,2
1642,Marshall,5
1643,Fletchers,2
1645,Ray,5
1648,Ray,1
1649,Lindellas,5
1650,Lindellas,5
1651,Jellis,1
1652,hockingstuart,2
1653,Ray,2
1654,Fletchers,2
1657,Allens,2
1658,Fletchers,1
1660,Noel,2
1664,Lindellas,3
1665,Lindellas,5
1667,Philip,1
1672,Ray,5
1673,Marshall,2
1681,Fletchers,5
1682,Noel,1
1689,Barry,1
1690,Sweeney,1
1691,Bells,1
1693,Bells,5
1694,Biggin,1
1695,Barry,1
1697,Sweeney,5
1702,Trimson,1
1703,Village,5
1704,Barry,1
1714,Biggin,1
1716,YPA,1
1718,Sweeney,1
1724,GL,1
1725,Barry,1
1726,Barry,1
1728,Burnham,1
1730,Nelson,1
1734,Buxton,2
1739,Marshall,3
1742,Hodges,1
1744,Marshall,3
1746,Buxton,2
1750,Tiernan's,2
1753,Marshall,4
1754,Nick,5
1755,Buxton,2
1760,Buxton,2
1765,Hodges,1
1767,Kay,2
1771,Nick,5
1775,Buxton,4
1776,Nick,5
1777,Buxton,2
1778,Biggin,4
1786,Gary,1
1789,Buxton,2
1801,Nick,2
1803,Buxton,2
1804,hockingstuart,2
1810,Buxton,4
1818,Buxton,5
1819,Hodges,2
1823,Buxton,2
1829,Buxton,2
1832,Hodges,2
1835,Hodges,5
1837,Gary,4
1841,Hodges,4
1843,hockingstuart,1
1845,Buxton,1
1851,Hodges,2
1855,HAR,4
1858,Buxton,2
1863,Marshall,5
1867,Biggin,4
1873,Kay,3
1878,Marshall,4
1880,Nick,4
1884,Nick,3
1888,RT,1
1891,Hodges,2
1903,Buxton,5
1904,Buxton,4
1907,Biggin,2
1911,Hodges,4
1918,Buxton,1
1919,Marshall,4
1921,Nick,4
1933,RT,4
1934,hockingstuart,5
1936,Marshall,4
1942,Hodges,2
1946,hockingstuart,2
1948,Nick,2
1951,Marshall,5
1956,hockingstuart,5
1961,Marshall,4
1966,Biggin,2
1978,Buxton,2
1979,Marshall,2
1980,Buxton,2
1984,Nick,2
1987,Marshall,2
1991,RT,2
1992,Buxton,2
1993,hockingstuart,5
1997,Buxton,1
1998,hockingstuart,2
2002,Marshall,2
2006,Hodges,4
2009,Biggin,5
2012,Buxton,2
2016,hockingstuart,4
2018,Buxton,5
2019,Nick,2
2020,Buxton,5
2028,Buxton,4
2029,Buxton,2
2033,hockingstuart,2
2037,RT,2
2043,Marshall,2
2044,RT,4
2045,Hodges,5
2046,C21,5
2047,Buxton,2
2051,RT,2
2056,hockingstuart,2
2060,Buxton,5
2067,Buxton,4
2080,Buxton,2
2094,Buxton,1
2096,Buxton,5
2101,Buxton,1
2110,Buxton,1
2111,McGrath,5
2117,Hodges,5
2120,Buxton,4
2122,Buxton,2
2124,Buxton,2
2126,hockingstuart,5
2128,Buxton,2
2132,Buxton,4
2138,Buxton,5
2140,Nelson,5
2141,Jellis,2
2142,Nelson,2
2147,Nelson,4
2149,Ray,1
2150,Walshe,1
2151,Nelson,1
2154,Jellis,1
2155,Jellis,5
2159,Nelson,5
2161,Jellis,1
2164,Walshe,1
2165,Walshe,1
2166,Nelson,1
2170,Jellis,5
2172,Jellis,5
2174,Nelson,5
2177,Ray,5
2179,Nelson,1
2180,Nelson,5
2184,Dingle,5
2186,Nelson,5
2192,Nelson,5
2199,Jellis,1
2200,Nelson,5
2203,Jellis,5
2207,Jellis,1
2211,Jellis,5
2212,RW,1
2213,Nelson,1
2214,Walshe,1
2215,Nelson,2
2217,Nelson,5
2218,Nelson,5
2221,Nelson,1
2225,Nelson,5
2226,Jellis,5
2227,Jellis,5
2230,Nelson,5
2231,Nelson,2
2232,Jellis,5
2234,Nelson,1
2235,Rendina,5
2237,Nelson,2
2240,Brad,1
2242,Nelson,5
2244,Jellis,1
2245,Collins,2
2247,Jellis,1
2250,Jellis,4
2251,Jellis,5
2252,Jellis,1
2257,Jellis,5
2258,Ray,5
2260,RW,1
2264,Ray,5
2271,Chambers,1
2276,Nelson,5
2278,Nelson,1
2281,Woodards,1
2283,Nelson,1
2285,Nelson,2
2286,Jellis,1
2287,Jellis,1
2288,Jellis,1
2290,Nelson,5
2292,Ray,2
2293,Walshe,1
2295,Jellis,2
2296,Ray,5
2299,Nelson,1
2305,Walshe,5
2306,Jellis,5
2309,Nelson,5
2311,Jellis,2
2312,Nelson,2
2313,Nelson,1
2315,Nelson,1
2317,Nelson,1
2318,Nelson,1
2322,Collins,1
2323,Nelson,5
2324,Jellis,2
2328,Jellis,5
2330,Nelson,1
2331,Peter,1
2334,Nelson,5
2336,Jellis,1
2345,Walshe,1
2346,hockingstuart,5
2347,Woodards,5
2349,Nelson,1
2351,Grantham,1
2352,Brad,1
2357,Ray,1
2358,Nelson,1
2359,Nelson,1
2360,Nelson,1
2366,Jellis,5
2367,Nelson,5
2375,Raine,5
2377,Jellis,1
2378,Nelson,5
2379,Nelson,1
2380,Nelson,1
2383,Brad,1
2386,Jellis,1
2388,Ray,1
2389,Jellis,1
2394,hockingstuart/Advantage,1
2397,Jellis,5
2398,Jellis,1
2399,Brad,5
2400,Walshe,1
2401,Ray,5
2404,Nelson,5
2405,Nelson,1
2406,Jellis,1
2407,Nelson,5
2408,McDonald,1
2411,Jellis,2
2412,Jellis,1
2413,Jellis,1
2416,Jellis,1
2417,Ray,1
2421,Nelson,5
2425,Hodges,1
2427,Jellis,1
2428,Nelson,1
2430,Nelson,5
2432,Jellis,5
2433,Jellis,5
2435,Jellis,5
2439,Barry,5
2441,Barry,5
2443,Fletchers,5
2445,Barry,5
2450,Ray,5
2451,Fletchers,2
2459,Barry,5
2462,Barry,5
2465,Barry,1
2469,Jellis,5
2474,Barry,5
2475,Fletchers,5
2478,hockingstuart,5
2480,McGrath,5
2487,Barry,5
2492,Barry,5
2497,Barry,5
2507,Jellis,2
2512,Ray,2
2513,Ray,5
2516,Buxton,2
2525,Marshall,5
2527,Greg,5
2531,Fletchers,2
2533,Fletchers,1
2537,Jellis,2
2538,Jellis,1
2547,Buxton,1
2550,Ray,5
2552,Buxton,5
2555,Noel,1
2561,Fletchers,5
2565,Ray,1
2567,Noel,1
2570,RW,2
2571,Buxton,1
2574,Jellis,2
2587,Jellis,5
2592,Noel,5
2598,Barry,5
2605,Buxton,2
2615,Lindellas,1
2616,Barry,1
2618,Jellis,4
2624,Noel,1
2625,Marshall,4
2631,Marshall,2
2645,Noel,1
2648,Jellis,2
2649,RT,1
2650,hockingstuart,2
2651,Jellis,1
2659,Jellis,4
2660,Marshall,4
2663,LITTLE,1
2681,Jellis,2
2682,Fletchers,5
2686,Noel,2
2687,O'Donoghues,1
2690,LITTLE,1
2699,Jellis,1
2704,Marshall,4
2708,Fletchers,2
2711,O'Donoghues,4
2713,O'Donoghues,5
2714,Marshall,2
2719,Jellis,5
2720,Jellis,4
2723,Ross,1
2727,Jellis,4
2732,Lindellas,2
2757,Kay,4
2763,Jellis,4
2769,Fletchers,2
2771,Jellis,2
2775,Kay,4
2778,Woodards,1
2786,Jellis,2
2787,Marshall,1
2789,Marshall,4
2791,Weast,4
2794,Marshall,2
2797,Jellis,2
2798,RT,4
2800,Noel,2
2802,Marshall,4
2803,Fletchers,4
2811,Marshall,4
2814,Marshall,2
2824,Century,1
2827,Jellis,4
2828,Jellis,4
2830,Noel,4
2831,Marshall,4
2832,Jellis,5
2834,Fletchers,5
2836,Jellis,4
2837,Jellis,4
2840,Jellis,1
2843,Jellis,4
2845,Marshall,2
2847,Fletchers,2
2848,RT,4
2850,Jellis,4
2857,Marshall,2
2864,RW,4
2877,Nelson,2
2882,Chambers,4
2883,Woodards,4
2887,Nelson,1
2891,Ray,4
2893,Kelly,4
2896,Nelson,4
2902,Nelson,2
2905,Nelson,2
2907,Nelson,1
2910,Nelson,1
2915,hockingstuart,1
2917,Ray,1
2918,Gary,1
2921,Woodards,1
2922,hockingstuart,5
2925,Marshall,1
2929,Woodards,1
2930,Gary,5
2932,hockingstuart,1
2933,Jellis,2
2934,Gary,1
2935,hockingstuart,1
2936,Ray,1
2938,Gary,1
2939,hockingstuart,5
2942,hockingstuart,1
2943,Woodards,2
2948,Woodards,5
2956,Woodards,5
2958,Gary,2
2959,hockingstuart,1
2960,hockingstuart,5
2963,Ray,1
2970,hockingstuart,2
2971,Ray,1
2972,hockingstuart,1
2976,Gary,2
2978,Marshall,5
2981,Jellis,1
2983,Ray,2
2985,Gary,5
2986,Gary,1
2988,Woodards,1
2989,Woodards,1
2993,Woodards,5
3001,Property,1
3002,hockingstuart,5
3004,hockingstuart,1
3005,hockingstuart,1
3006,Woodards,5
3013,hockingstuart,1
3014,Ray,2
3017,Gary,2
3021,Ray,5
3025,Matthew,1
3026,Marshall,2
3028,Gary,1
3030,Thomson,1
3031,Private/Tiernan's,2
3035,Australian,1
3037,Anderson,1
3039,Buxton,5
3040,Woodards,1
3043,hockingstuart,2
3045,Buxton,1
3046,Gary,1
3050,Ray,1
3051,Woodards,2
3053,hockingstuart,1
3055,Gary,1
3060,Gary,1
3063,Rodney,1
3067,Marshall,2
3069,Abercromby's,1
3071,Jellis,2
3073,Gary,1
3075,hockingstuart,1
3080,Gary,2
3084,Gary,1
3091,Gary,1
3095,Gary,1
3099,Gary,4
3101,hockingstuart,2
3104,hockingstuart,2
3105,Gary,1
3108,hockingstuart,5
3123,Gary,5
3124,Biggin,5
3125,RT,2
3127,hockingstuart,2
3129,Ray,1
3131,Gary,1
3132,hockingstuart,5
3138,Buxton,5
3142,hockingstuart,5
3145,Biggin,5
3147,Gary,5
3149,hockingstuart,2
3151,Biggin,2
3159,Purplebricks,5
3162,Bekdon,1
3165,Buxton,5
3171,Buxton,5
3172,Ray,5
3176,hockingstuart,1
3180,Buxton,5
3183,Buxton,5
3189,hockingstuart,2
3195,McGrath,5
3203,Thomson,5
3207,Buxton,5
3209,Ray,5
3214,Harrington,1
3216,Nelson,5
3217,Collins,5
3220,Nelson,5
3221,Harrington,5
3222,Jellis,5
3223,Collins,4
3224,Nelson,2
3226,Jellis,5
3230,iTRAK,1
3232,Collins,5
3240,Nelson,2
3245,Collins,5
3249,Jellis,1
3254,Nelson,2
3258,Nelson,5
3267,Brad,5
3270,Nelson,1
3273,Nelson,1
3275,Nelson,1
3279,Walshe,1
3283,Nelson,5
3284,Ray,5
3286,Jellis,5
3290,Jellis,1
3293,Peter,5
3294,Jellis,5
3295,Nelson,1
3300,Brad,5
3302,Jellis,1
3305,Nelson,1
3306,Nelson,1
3307,Nicholson,1
3308,Nicholson,1
3309,Nicholson,1
3310,Nelson,5
3311,Nelson,5
3313,Nelson,5
3316,Nelson,1
3318,Peter,1
3321,Nelson,1
3331,Re,5
3336,Woodards,1
3338,Nelson,5
3339,Nelson,5
3341,Nelson,2
3342,Brad,5
3343,Nelson,1
3345,Peter,5
3347,Ray,1
3352,Ray,5
3353,Ray,1
3364,RE,2
3370,Jellis,5
3377,Re,1
3378,Nelson,1
3384,Nelson,1
3385,Raine,5
3386,Nelson,5
3388,Raine,1
3391,Ray,1
3392,Brad,1
3393,Nelson,5
3396,Jellis,5
3400,Grantham,5
3401,RT,1
3402,Brad,1
3403,Raine,5
3405,Jellis,5
3406,Brad,1
3408,Nelson,5
3410,Hodges,5
3413,Brad,1
3417,Peter,5
3419,Ray,1
3423,Nelson,1
3424,Peter,5
3426,Jellis,1
3428,Nelson,1
3429,Re,5
3434,Nelson,5
3435,Nelson,1
3436,Nelson,1
3438,Jellis,1
3440,Nelson,5
3441,Brad,5
3442,Nelson,1
3447,Nelson,5
3448,Peter,1
3450,Nelson,1
3460,hockingstuart,1
3461,McGrath,1
3462,McGrath,1
3464,hockingstuart,1
3468,Nelson,5
3470,Nelson,1
3473,Nelson,1
3474,Nelson,5
3476,Love,1
3478,Nelson,1
3482,Raine,1
3483,Jellis,5
3486,First,5
3488,Nelson,1
3489,Nelson,1
3491,Brad,1
3508,Brad,1
3509,hockingstuart,5
3513,Jellis,5
3514,Ray,5
3522,Barry,1
3523,Jellis,1
3524,Nelson,1
3525,Jellis,5
3531,LITTLE,5
3532,Jellis,5
3533,Nelson,5
3538,Nelson,5
3540,Jellis,5
3541,Jellis,1
3544,Biggin,1
3547,Woodards,1
3548,Nelson,5
3551,Jellis,5
3554,Jellis,5
3555,Jellis,1
3557,Jellis,5
3559,Jellis,5
3562,hockingstuart,5
3564,Woodards,1
3566,Jellis,5
3567,Biggin,1
3574,Peter,5
3576,Peter,5
3579,Jellis,1
3580,Jellis,2
3581,Jellis,1
3583,Nelson,1
3585,Nelson,2
3587,Jellis,5
3591,Barry,2
3594,Barry,2
3596,Barry,2
3603,hockingstuart,5
3606,Barry,1
3609,Jellis,5
3610,hockingstuart,2
3612,Barry,5
3615,Barry,5
3616,Jellis,2
3617,Ray,5
3618,Jellis,5
3620,Jellis,2
3623,Barry,4
3626,Jellis,2
3628,Barry,1
3634,Ray,2
3642,Barry,1
3650,hockingstuart,1
3653,Barry,2
3655,Ray,5
3657,Ray,5
3659,Jellis,5
3660,Ray,5
3662,Fletchers,5
3663,Jellis,5
3670,Philip,2
3675,Fletchers,5
3676,Jellis,2
3677,Barry,5
3678,Jellis,2
3682,Ray,2
3683,Parkes,1
3688,Jellis,5
3690,RW,2
3691,Barry,2
3696,Barry,2
3700,Barry,5
3701,Ray,5
3702,Jellis,1
3703,Vic,5
3704,Barry,5
3705,Philip,5
3707,Jellis,2
3718,Nelson,2
3720,Miles,2
3725,Nelson,2
3726,Miles,1
3727,Miles,2
3728,Miles,2
3730,Nelson,4
3732,Miles,1
3734,Miles,2
3735,Holland,5
3737,Miles,4
3739,Miles,5
3740,Nelson,2
3743,Nelson,4
3745,Gary,5
3746,Biggin,2
3748,hockingstuart,5
3754,Gary,2
3755,Biggin,2
3756,Hodges,5
3762,Buxton,1
3763,Biggin,1
3765,Hodges,1
3766,Biggin,5
3768,Chisholm,5
3769,McGrath,1
3771,Biggin,4
3777,Biggin,5
3778,Biggin,2
3779,Biggin,4
3780,Biggin,1
3781,Gary,1
3790,Biggin,2
3791,Scott,5
3792,Buxton,2
3793,Biggin,2
3794,Biggin,4
3796,Gary,1
3797,Pride,5
3799,Biggin,2
3800,Gary,1
3801,Biggin,4
3802,Owen,5
3804,Biggin,2
3808,Biggin,2
3815,Chisholm,1
3818,Morleys,1
3819,Wilson,1
3822,Gary,1
3823,Chisholm,1
3825,hockingstuart,1
3828,Pride,2
3829,hockingstuart,5
3835,Marshall,1
3838,Buxton/Advantage,1
3840,Chisholm,1
3846,Pride,5
3848,McGrath,1
3849,Chisholm,5
3850,hockingstuart,1
3853,Buxton,1
3855,Chisholm,1
3857,McGrath,1
3862,Buxton,5
3864,hockingstuart,1
3867,Pride,2
3869,Chisholm,1
3873,hockingstuart,5
3875,Marshall,4
3885,Jellis,1
3886,Marshall,1
3888,Buxton,1
3890,McGrath,2
3891,Biggin,5
3898,Marshall,4
3901,Biggin,1
3902,McGrath,1
3907,Wilson,1
3908,Chisholm,1
3909,hockingstuart,1
3910,Hodges,1
3913,hockingstuart,1
3916,Hodges,1
3920,Gary,1
3921,Gary,5
3922,hockingstuart,1
3923,Gary,1
3924,Chisholm,5
3925,Chisholm,1
3927,McGrath,1
3928,Chisholm,2
3932,Buxton,1
3933,Wilson,4
3934,Marshall,1
3939,Chisholm,1
3940,Chisholm,1
3942,McGrath,5
3944,Chisholm,2
3951,Jellis,2
3952,Barry,1
3953,Nelson,1
3957,Nelson,5
3960,Frank,1
3962,Rendina,5
3963,Nelson,5
3964,Nelson,1
3967,Nelson,1
3968,Brad,5
3970,Nelson,2
3971,Nelson,5
3973,Nelson,2
3975,Frank,5
3980,Barry,5
3981,Hodges,1
3982,Greg,2
3989,Nelson,4
3996,Nelson,5
4003,Brad,4
4004,Nelson,5
4006,Nelson,2
4011,Nelson,5
4015,Brad,5
4017,Nelson,2
4018,McDonald,1
4019,McDonald,2
4020,Barry,1
4022,Nelson,1
4024,Brad,5
4027,Barry,1
4031,Frank,1
4033,Nelson,2
4034,Pagan,1
4041,Brad,2
4042,Pagan,1
4043,Brad,2
4046,Nelson,5
4047,Nelson,5
4050,Barry,5
4052,Nelson,1
4054,Nelson,5
4056,Hodges,2
4058,Barry,5
4060,Jellis,1
4063,Nelson,2
4070,Brad,1
4072,Nelson,1
4075,Barry,5
4076,Brad,2
4077,Nelson,2
4080,Nelson,1
4086,Paul,2
4087,Nelson,1
4089,Brad,1
4090,Nelson,1
4092,Brad,1
4095,McDonald,4
4100,Nelson,2
4101,Paul,5
4107,Nelson,1
4108,Nelson,1
4110,Brad,1
4113,Nelson,5
4115,Nelson,1
4116,Brad,1
4117,Nelson,2
4118,Red,2
4126,Nelson,5
4129,Raine,5
4131,Nelson,5
4132,Nelson,2
4133,Brad,5
4134,Barry,1
4137,Barry,1
4142,Barry,1
4144,Nelson,5
4145,Nelson,1
4146,Nelson,1
4148,Nelson,1
4151,Jellis,5
4153,McGrath,5
4158,Jellis,5
4159,Nelson,5
4160,Nelson,1
4162,Jellis,1
4163,Love,5
4165,Nelson,1
4167,Nelson,1
4170,Jellis,2
4175,hockingstuart,1
4182,Nelson,5
4183,Nelson,2
4186,McGrath,1
4189,Collins,5
4190,Nelson,1
4191,McGrath,2
4192,Jellis,1
4196,McGrath,1
4198,McGrath,5
4200,Nelson,5
4203,Jellis,1
4207,Nelson,5
4211,Nelson,2
4213,Nelson,5
4214,Caine,4
4219,Nelson,5
4223,Nelson,2
4228,Jellis,1
4229,Nelson,2
4232,Nelson,5
4234,Nelson,5
4237,Nelson,5
4240,Caine,1
4241,Nelson,1
4244,Harrington,1
4245,Jellis,1
4246,hockingstuart,1
4247,Nelson,3
4251,Woodards,1
4252,Woodards,5
4253,Nelson,5
4255,Nelson,2
4261,Jellis,1
4263,Nicholson,1
4265,LITTLE,5
4266,Collins,5
4267,Nelson,5
4271,Holland,5
