,Price,Price,Price,Price,Price,Price,Price,Price
Haughton,1,0,1,0,0,0,0,0
Hayeswinckle,0,0,0,0,0,0,1,0
Hodges,0,0,1,0,1,1,1,0
Holland,1,0,1,0,0,0,0,0
Homes,0,0,0,0,0,0,1,0
Hoskins,1,1,0,0,0,0,0,0
Hunter,0,0,0,0,0,0,1,0
Iconek,0,0,1,0,0,0,0,0
J,0,0,1,0,0,1,0,0
JMRE,0,0,1,0,0,0,0,0
JRW,1,0,0,0,0,0,0,0
Jas,0,0,0,0,0,0,1,0
Jason,0,0,1,0,0,0,1,0
Jellis,1,0,1,0,1,1,1,0
Johnston,0,0,0,0,0,1,0,0
Joseph,0,0,1,0,0,0,0,0
Just,0,1,0,0,0,0,0,0
Justin,1,0,0,0,0,0,0,0
Kay,1,0,1,0,0,1,0,0
Kaye,0,1,0,0,0,0,0,0
Kelly,0,0,1,0,0,0,0,0
Ken,0,0,1,0,0,0,0,0
L,0,0,0,0,0,0,1,0
LITTLE,0,0,1,0,0,1,1,0
LJ,1,1,1,0,1,0,1,0
LJH,0,0,0,0,1,0,0,0
LLC,1,0,0,0,1,0,0,0
Langwell,0,0,1,0,0,0,0,0
Le,0,0,0,0,1,0,0,0
Leading,0,0,0,0,0,0,1,0
Leeburn,0,0,0,0,0,0,1,0
Leyton,0,0,0,0,1,0,0,0
Lindellas,1,0,1,0,0,1,0,0
Love,1,0,1,1,0,0,0,0
Lucas,0,0,0,0,0,1,0,0
Luxton,1,0,0,0,0,0,0,0
MICM,0,0,1,0,0,1,1,0
Maddison,0,0,0,0,0,0,1,0
Maitland,0,0,0,0,1,0,0,0
Mandy,1,0,0,0,0,1,0,0
Marshall,1,0,1,0,0,1,0,0
Mason,1,0,0,1,0,0,0,0
Matthew,0,0,0,0,0,1,0,0
Max,1,1,0,0,0,0,0,0
McDonald,0,0,1,1,0,0,1,0
McGrath,1,1,1,1,1,1,1,0
McGrath/First,1,0,0,0,0,0,0,0
McGrath/Langwell,0,0,0,0,0,1,0,0
McLennan,0,0,0,0,1,0,0,0
McNaughton,0,0,0,0,0,0,1,0
Melbourne,0,0,1,0,0,1,1,0
Miles,1,0,1,0,0,0,0,0
Millership,0,0,1,1,0,0,0,0
Mitchell,0,0,0,0,1,0,0,0
Moonee,0,0,0,0,0,0,1,0
Morleys,0,0,0,0,0,1,0,0
Morrison,1,0,1,1,0,1,0,0
Munn,0,0,0,0,1,0,0,0
Naison,0,0,0,0,0,0,1,0
Nardella,0,0,1,0,0,0,0,0
Nelson,1,0,1,0,1,1,1,0
New,0,0,1,0,0,0,0,0
Nicholson,0,0,1,0,0,0,0,0
Nick,0,0,0,0,0,1,0,0
Noel,1,0,0,0,1,1,0,0
O'Brien,0,1,0,0,1,1,1,0
O'Donoghues,0,0,0,0,0,1,0,0
OBrien,1,0,0,0,0,0,0,0
Oak,0,0,0,0,0,0,1,0
Obrien,0,0,0,0,1,1,0,0
One,1,0,0,0,1,1,1,0
Only,0,0,0,0,1,0,0,0
Owen,0,0,0,0,0,1,0,0
PRDNationwide,0,0,0,1,0,0,1,1
PSP,0,0,0,0,0,0,1,0
Pagan,0,0,1,0,0,0,1,0
Parkes,1,0,0,0,0,0,0,0
Paul,0,0,0,0,0,1,1,0
Peake,0,1,0,0,0,0,0,0
Peter,0,0,1,0,0,1,0,0
Philip,1,0,0,0,0,1,0,0
Point,0,0,0,0,0,0,1,0
Pride,0,0,0,0,0,1,0,0
Prime,0,0,0,0,0,0,1,0
Private/Tiernan's,0,0,0,0,0,1,0,0
Prof.,0,1,0,0,0,0,1,0
Property,0,0,0,0,1,1,0,0
Prowse,0,0,0,0,0,1,0,0
Purplebricks,1,1,1,0,1,1,1,0
R&H,0,0,1,0,0,1,0,0
RE,0,0,1,0,0,0,1,0
REMAX,0,0,0,0,1,0,0,0
RT,1,0,1,1,1,1,1,0
RW,1,0,1,0,1,1,1,0
Raine,0,0,1,1,0,0,1,1
Raine&Horne,0,0,0,0,0,0,1,0
Ray,1,1,1,1,1,1,1,0
Re,0,0,1,0,0,0,1,0
Real,1,0,0,0,0,0,0,0
Red,0,0,0,0,0,0,1,0
Redina,0,0,0,0,0,0,1,0
Reed,0,0,0,0,0,1,0,0
Reliance,0,0,0,1,0,0,1,1
Rendina,0,0,1,0,0,0,1,0
Rexhepi,0,0,0,0,1,0,0,0
Ristic,0,0,1,0,0,0,0,0
Rodney,0,0,0,0,0,1,0,0
Ross,0,0,0,0,0,1,0,0
Rounds,0,0,0,0,0,1,1,0
Ryder,0,0,0,0,0,0,0,1
S&L,0,0,0,0,0,0,1,0
Sanctuary,0,0,0,0,0,0,1,0
Schroeder,1,0,0,0,0,0,0,0
Scott,0,0,0,0,0,1,0,0
Sell,1,0,0,0,0,0,0,0
Skad,0,0,1,0,0,0,0,0
Sotheby's,0,0,0,0,0,1,0,0
Stockdale,1,1,1,0,1,1,1,0
Sweeney,0,0,0,0,0,0,1,0
Sweeney/Advantage,0,0,0,0,0,0,1,0
TRUE,0,0,0,0,0,0,1,0
The,0,0,1,0,0,1,0,0
Thomson,0,0,0,0,1,1,1,0
Tiernan's,0,0,0,0,0,1,0,0
Tim,0,0,0,0,0,1,0,0
Trimson,0,0,1,0,0,0,1,0
Triwest,0,0,0,0,0,0,1,0
U,0,0,0,0,1,0,0,0
Upper,1,0,0,0,0,0,0,0
Upside,0,0,0,0,1,0,0,0
VICPROP,0,0,0,0,0,1,0,0
VICProp,1,0,0,0,0,1,0,0
Veitch,0,0,0,0,1,0,0,0
Vic,1,0,0,0,0,0,0,0
Victory,1,0,0,0,0,0,0,0
Village,0,0,0,0,0,0,1,0
W.B.,0,0,1,0,0,0,0,0
WHITEFOX,0,0,0,0,0,1,0,0
Walsh,0,0,0,0,0,1,0,0
Walshe,0,0,1,0,0,0,0,0
Weast,0,0,0,0,0,1,0,0
Weston,0,0,0,0,0,1,0,0
Westside,0,0,0,0,0,0,1,0
Whiting,0,0,1,0,0,1,1,0
William,1,0,0,0,0,1,0,0
Williams,0,0,0,0,0,1,1,0
Wilson,0,0,0,0,0,1,0,0
Win,1,1,0,0,1,0,0,0
Wood,0,0,0,0,0,1,0,0
Woodards,1,0,1,0,1,1,1,0
Wyndham,0,0,0,0,0,0,1,0
YPA,0,0,1,1,0,0,1,1
Zahn,1,0,0,0,0,0,0,0
buyMyplace,1,0,1,0,0,1,0,0
hockingstuart,1,1,1,1,1,1,1,1
hockingstuart/Advantage,0,0,1,0,0,0,0,0
hockingstuart/Biggin,0,0,0,0,0,0,1,0
hockingstuart/Village,0,0,0,0,0,0,1,0
hockingstuart/hockingstuart,0,0,0,0,1,0,0,0
iOne,0,0,0,0,0,0,1,0
iProperty,1,0,0,0,0,0,0,0
iSell,0,0,0,0,1,0,0,0
iTRAK,1,1,1,0,1,0,0,0
