age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Class
7,2,19625,9,12,4,11,2,4,1,0,0,39,38,0
21,2,2028,14,14,2,9,0,4,1,0,0,39,38,1
39,4,18038,11,8,2,7,0,4,1,0,46,49,1,1
11,2,18989,15,9,2,11,5,4,0,65,0,24,38,0
19,2,3823,11,8,4,6,3,4,0,0,0,39,38,0
36,2,3300,6,4,2,5,0,4,1,0,0,49,38,0
39,3,17161,15,9,2,11,0,4,1,0,0,49,38,0
32,1,11646,8,10,2,2,0,2,1,0,0,39,38,1
38,2,15043,15,9,2,11,0,4,1,0,0,55,38,0
5,2,3810,11,8,4,2,1,4,1,0,0,40,38,0
4,2,11919,15,9,4,7,3,4,0,0,0,39,38,0
23,2,5141,9,12,2,3,0,4,1,0,0,59,38,0
13,2,2474,9,12,4,3,3,2,1,0,0,39,10,0
12,5,15918,9,12,2,9,0,4,1,0,0,49,38,1
2,2,17114,15,9,4,7,3,2,1,0,0,34,38,0
30,2,16685,9,12,2,3,5,4,0,0,0,39,38,1
3,2,4532,15,9,4,0,3,4,0,0,33,27,38,0
14,2,4780,7,11,2,0,0,4,1,0,0,39,38,1
22,2,18766,15,9,0,2,1,4,1,0,0,39,38,0
11,2,2185,7,11,4,11,1,4,0,0,0,59,38,0
7,2,1127,11,8,4,7,1,4,0,0,40,39,38,0
21,4,5296,11,8,2,2,0,4,1,67,0,34,38,0
20,2,15323,9,12,2,11,0,4,1,0,0,49,38,0
29,2,6984,7,11,0,12,1,2,0,0,0,35,38,0
21,0,5646,12,13,2,9,0,4,1,0,0,39,19,1
26,4,1737,11,8,2,2,0,4,1,0,0,59,38,0
10,2,8223,8,10,2,0,5,4,0,0,0,34,38,0
3,2,675,15,9,4,11,3,4,1,0,0,19,38,0
32,2,2664,15,9,2,2,0,1,1,0,0,39,38,1
44,3,2071,11,8,2,2,0,4,1,0,0,39,38,0
10,2,14243,15,9,4,11,3,4,0,0,0,39,38,0
2,2,17568,15,9,4,7,3,4,1,0,0,29,25,0
28,2,11568,8,10,4,9,1,4,0,0,20,39,38,1
53,2,4022,15,9,4,12,2,4,1,0,0,39,38,0
14,2,10439,11,8,4,13,4,2,0,0,0,29,38,0
5,2,9336,15,9,2,7,0,4,1,0,0,23,38,0
19,2,4245,11,8,6,7,4,4,0,0,0,23,38,0
47,2,9943,1,6,2,2,0,4,1,0,61,39,38,0
30,1,10454,15,9,0,0,4,4,0,0,0,37,25,0
17,2,11732,11,8,4,0,1,4,0,0,0,39,38,0
16,2,8207,9,12,4,3,2,1,0,0,0,39,29,0
4,2,16957,11,8,4,2,3,4,1,0,0,34,38,0
31,2,10644,11,8,2,2,0,4,1,0,0,45,38,0
6,2,13110,9,12,4,5,1,4,1,0,0,39,38,0
54,4,19929,15,9,5,11,4,2,1,0,41,1,38,0
12,2,11063,11,8,0,2,1,4,1,0,0,59,38,0
25,2,13998,9,12,5,7,2,2,1,0,0,49,38,0
8,2,15272,11,8,4,7,4,4,0,0,0,39,38,0
27,3,2529,12,13,0,3,4,1,0,0,0,39,38,0
11,2,2953,11,8,4,3,1,1,0,0,0,39,8,0
28,4,12024,12,13,2,11,0,4,1,0,0,39,38,1
19,2,12547,15,9,0,7,4,4,0,0,0,39,25,0
22,0,14393,7,11,4,3,1,4,1,0,0,41,38,0
29,5,3808,12,13,6,10,4,4,1,0,0,39,38,0
1,2,154,1,6,4,5,3,4,1,0,0,15,38,0
49,1,1639,8,10,6,9,1,4,0,0,0,19,38,0
10,2,5581,11,8,4,7,1,4,1,0,51,39,38,0
11,5,9330,11,8,2,10,0,4,1,0,0,39,38,0
34,2,3328,15,9,2,11,0,4,1,0,50,39,38,1
10,2,19598,9,12,4,2,1,4,1,0,0,49,38,0
11,5,7223,9,12,2,9,0,4,1,0,0,39,38,1
10,2,15311,11,8,3,11,4,4,0,0,0,24,38,0
4,2,17452,11,8,4,2,3,2,1,0,0,39,38,0
17,2,19901,11,8,4,5,1,2,1,0,0,39,38,0
1,2,10252,11,8,4,7,3,4,1,0,0,11,38,0
16,2,863,9,12,2,9,0,4,1,0,0,64,38,0
27,1,9955,15,9,2,3,0,2,1,0,0,37,38,1
26,2,4752,15,9,0,0,1,4,0,0,0,39,38,0
13,2,20169,15,9,4,2,1,2,1,0,0,44,38,0
23,2,16633,5,3,2,6,0,4,1,0,0,39,25,1
20,0,298,15,9,2,0,0,4,1,0,0,41,38,1
17,2,17192,11,8,2,0,0,2,1,0,0,39,38,0
24,4,6773,9,12,0,3,1,4,0,0,0,39,38,0
14,2,3599,12,13,2,9,5,4,0,0,0,49,38,0
41,5,4357,10,15,2,9,0,4,1,0,0,0,38,1
21,2,7618,15,9,0,6,1,2,0,0,0,27,38,0
7,2,7917,15,9,2,6,0,4,1,0,0,39,38,0
24,1,20025,9,12,2,2,0,2,1,0,0,39,38,0
30,2,5293,15,9,2,12,0,4,1,0,0,44,38,0
24,0,5973,9,12,2,12,0,4,1,0,0,23,38,0
6,2,11650,4,2,2,13,2,4,1,0,0,39,25,0
19,2,3561,15,9,0,2,1,4,1,0,0,39,38,0
23,0,1731,12,13,4,3,1,4,0,104,0,54,38,1
18,2,6489,12,13,2,9,2,4,1,90,0,39,38,1
7,4,561,11,8,4,11,1,4,1,0,0,39,38,0
9,2,19253,12,13,4,9,1,4,0,0,45,39,38,0
34,2,15565,9,12,2,3,0,4,1,0,0,49,38,1
25,1,15351,15,9,4,9,1,4,0,0,13,39,38,0
20,5,1329,11,8,0,0,4,4,0,0,0,34,38,0
1,2,6558,1,6,4,11,3,4,0,0,0,39,38,0
19,2,5845,9,12,2,7,0,2,1,90,0,35,38,1
18,2,807,11,8,0,2,1,4,1,0,0,59,38,0
41,3,12813,11,8,2,11,5,4,0,107,0,34,38,1
0,2,2031,1,6,4,11,3,4,0,0,0,11,38,0
27,1,8039,11,8,2,13,0,2,1,0,0,39,38,0
20,2,12636,11,8,2,2,0,4,1,0,0,39,38,1
18,2,7517,15,9,4,11,1,0,0,0,0,39,38,0
43,2,2852,11,8,2,2,0,1,1,0,0,39,38,0
37,3,5614,5,3,2,6,0,4,1,0,0,39,38,1
20,2,20170,9,12,4,3,1,2,1,0,0,59,38,1
33,2,17460,7,11,0,11,1,4,0,0,0,39,38,0
21,2,10089,9,12,2,11,0,4,1,0,0,49,30,0
28,2,4347,9,12,2,9,0,4,1,0,0,54,38,0
8,2,15362,0,5,4,2,1,4,1,0,0,39,38,0
14,2,11699,15,9,2,5,0,4,1,0,0,39,38,0
71,2,1490,11,8,4,7,1,2,1,0,64,39,38,0
37,2,9491,11,8,2,0,0,2,1,0,0,19,38,0
36,1,6564,13,0,4,6,1,4,0,0,0,34,38,0
1,2,14835,11,8,4,11,3,4,0,0,0,39,38,0
49,4,8594,11,8,2,4,0,4,1,10,0,49,38,0
58,2,17484,8,10,6,0,1,4,0,0,0,19,3,0
48,2,9511,11,8,0,0,1,4,0,0,0,39,38,0
18,2,20047,1,6,5,13,1,2,1,59,0,39,38,0
24,2,5950,11,8,0,11,4,2,0,0,0,37,38,0
8,2,7933,15,9,4,0,1,4,1,0,0,41,38,0
16,2,4478,15,9,0,2,2,3,0,0,0,39,38,0
11,2,2453,14,14,4,9,1,4,1,0,0,54,38,1
42,5,15949,11,8,2,7,0,4,1,0,0,39,38,0
23,5,8880,15,9,4,0,1,4,0,0,0,37,38,0
24,2,9839,9,12,2,3,0,4,1,0,0,49,19,1
21,1,4796,12,13,2,3,0,4,1,0,0,68,38,1
6,2,4829,11,8,4,13,3,4,1,0,0,39,38,0
23,2,18394,9,12,2,9,0,4,1,0,0,39,38,1
24,4,11519,11,8,2,7,5,4,0,0,0,19,38,0
7,5,16148,7,11,2,10,0,4,1,0,0,49,38,0
21,2,9775,15,9,0,2,1,4,1,0,38,39,38,0
41,2,14463,11,8,2,0,0,4,1,0,0,44,38,1
15,2,10250,11,8,4,7,1,4,0,0,0,33,38,0
23,2,12584,7,11,2,12,0,4,1,0,50,59,38,1
24,2,4612,14,14,2,9,5,4,0,0,0,39,38,1
25,2,19169,9,12,2,0,5,2,0,0,0,39,38,0
42,1,8942,0,5,6,7,4,2,0,0,0,29,38,0
2,1,220,15,9,4,0,3,4,1,0,0,39,38,0
41,2,15553,15,9,4,13,1,4,1,0,0,19,38,0
25,4,17159,11,8,2,4,0,1,1,0,0,39,0,1
3,2,5040,11,8,4,7,3,4,0,0,0,39,38,0
15,2,9049,11,8,5,7,1,4,0,0,0,29,38,0
28,2,10639,8,10,6,3,1,4,0,0,0,44,38,0
33,2,12324,5,3,0,2,1,4,1,0,0,39,38,0
19,2,7256,9,12,0,9,3,4,0,0,0,39,38,0
28,2,3454,11,8,2,11,0,4,1,0,0,59,38,0
0,2,14968,1,6,4,7,3,4,1,0,0,11,38,0
42,2,6974,15,9,2,11,0,4,1,65,0,39,38,0
9,2,18997,1,6,2,2,0,4,1,0,0,39,38,0
20,3,15470,15,9,2,3,0,1,1,0,0,72,36,1
47,2,37,11,8,2,3,0,4,1,0,0,39,38,1
16,2,10410,9,12,4,9,1,4,0,0,0,44,38,0
16,2,13613,11,8,2,2,5,4,0,0,0,39,38,1
44,2,2194,11,8,2,3,0,4,1,0,0,39,38,1
0,2,11030,6,4,4,7,3,4,1,6,0,23,38,0
33,4,399,12,13,2,4,0,4,1,33,0,92,38,0
10,1,12698,12,13,4,9,3,4,1,0,0,34,38,0
13,2,2209,11,8,0,9,3,4,0,0,0,39,38,0
26,2,19877,11,8,2,5,0,2,1,0,0,39,38,0
27,2,8909,15,9,2,2,0,4,1,90,0,39,38,1
18,2,10912,15,9,4,3,1,4,0,0,0,39,38,0
8,2,11303,15,9,4,12,3,4,0,0,0,39,38,0
7,2,16363,15,9,2,6,5,4,0,90,0,47,38,1
5,2,723,9,12,4,9,1,4,0,0,0,14,10,0
25,1,3425,15,9,2,2,0,4,1,78,0,39,38,1
17,2,9342,7,11,0,11,4,2,0,0,0,44,38,0
43,2,9180,9,12,0,9,1,4,0,0,0,41,38,0
4,2,12430,11,8,4,5,3,4,1,0,0,39,38,0
40,0,19573,12,13,2,11,0,4,1,107,0,39,38,1
24,2,13515,14,14,2,9,0,4,1,0,0,59,38,1
33,2,9483,15,9,0,7,1,4,1,0,0,44,38,0
8,2,18865,9,12,4,3,1,4,0,0,0,39,38,0
33,2,11312,5,3,2,2,0,4,1,0,0,39,6,0
19,2,11954,9,12,2,9,0,4,1,0,0,44,38,0
14,2,5760,11,8,0,9,1,4,0,0,0,39,38,0
12,1,13509,9,12,4,10,1,4,1,0,0,55,38,0
4,2,14204,15,9,4,11,3,4,1,0,0,44,38,0
10,2,15087,9,12,4,12,4,2,0,0,0,39,38,0
48,2,4485,11,8,2,13,0,4,1,0,0,15,38,0
20,3,1756,9,12,0,11,1,4,0,0,0,59,38,0
7,2,16307,11,8,4,2,3,4,1,0,0,39,38,0
21,2,8770,11,8,0,11,1,4,1,0,0,76,38,0
31,2,6987,9,12,2,0,0,4,1,93,0,39,38,1
4,2,7514,15,9,4,7,1,1,0,0,0,24,38,0
14,2,13323,11,8,2,13,0,4,1,0,0,44,38,1
38,2,14587,11,8,2,11,0,4,1,67,0,39,38,1
7,2,17167,15,9,2,0,5,1,0,0,0,39,24,0
26,2,9121,11,8,0,0,1,4,0,0,0,39,38,0
9,2,11315,7,11,4,12,1,4,1,0,0,44,38,0
29,2,2719,7,11,4,9,1,4,0,0,0,32,38,0
18,2,11304,7,11,2,0,0,4,1,0,0,39,38,1
24,3,728,15,9,2,4,0,4,1,0,0,53,38,1
9,2,1825,9,12,4,11,1,4,1,0,0,39,38,0
17,2,6753,12,13,2,3,0,1,1,90,0,34,35,1
19,4,12414,9,12,0,9,1,2,0,0,0,39,38,1
5,2,11897,15,9,4,11,3,4,1,0,0,14,38,0
7,2,11102,15,9,4,6,1,4,1,0,0,39,38,0
60,4,6471,15,9,2,11,0,4,1,0,0,39,38,0
5,2,19281,4,2,2,6,2,4,0,0,0,39,25,0
12,2,19552,15,9,4,12,1,4,0,0,0,39,38,0
45,2,7945,11,8,6,7,1,4,0,0,0,23,38,0
22,4,9217,11,8,2,3,0,4,1,0,0,39,38,0
26,2,1427,15,9,2,2,0,4,1,0,17,49,38,0
18,2,10461,11,8,0,13,1,4,1,0,0,44,38,0
12,2,11959,1,6,4,3,1,4,0,0,0,39,38,0
59,4,9218,12,13,2,2,0,4,1,0,0,9,38,0
46,4,2530,11,8,2,4,0,4,1,0,0,44,38,0
26,2,10648,15,9,2,9,5,4,0,0,46,49,38,1
41,4,17686,11,8,2,5,0,4,1,0,0,39,38,0
49,2,5787,11,8,4,13,1,4,1,21,0,54,38,0
24,2,12502,15,9,4,2,1,2,1,0,0,44,38,0
9,2,13756,9,12,4,0,1,4,1,0,0,39,38,0
30,2,9715,8,10,4,7,1,4,1,0,0,39,38,0
38,1,3478,0,5,2,0,0,4,1,0,0,39,38,0
36,2,14801,11,8,2,13,0,4,1,0,0,39,38,0
0,2,16032,4,2,4,7,2,4,1,0,0,47,25,0
13,2,3222,11,8,4,2,2,4,1,0,0,39,38,0
32,2,2242,12,13,4,9,1,4,1,0,0,59,38,0
2,2,3928,11,8,4,11,4,2,1,0,0,29,13,0
28,2,15632,11,8,2,7,0,2,1,0,0,39,38,0
9,2,3255,7,11,4,11,1,4,1,0,0,39,38,0
21,2,16967,8,10,2,2,0,4,1,90,0,39,38,1
19,5,5177,11,8,2,10,0,4,1,90,0,39,38,1
16,2,2819,11,8,4,4,1,4,1,0,0,19,38,0
5,5,16868,15,9,4,10,3,2,0,0,0,39,38,0
26,4,14765,9,12,4,11,1,4,1,0,0,41,38,0
39,2,3680,7,11,3,7,1,4,1,0,0,24,19,0
14,2,7698,9,12,4,9,3,4,1,0,0,24,38,0
16,2,5061,9,12,2,3,0,4,1,0,0,39,38,1
9,2,11134,11,8,2,7,0,4,1,0,0,39,38,0
16,2,4506,9,12,2,3,0,4,1,0,0,39,38,1
29,1,17902,1,6,2,13,0,4,1,0,0,29,38,0
21,0,3281,11,8,2,0,0,4,1,0,0,39,38,1
48,2,8072,1,6,6,7,4,3,1,0,0,39,38,0
23,2,3336,8,10,2,12,0,4,1,0,0,39,38,1
25,2,4546,11,8,2,0,5,4,0,0,0,34,38,0
9,4,4969,6,4,2,2,0,4,1,0,0,39,31,0
19,2,18399,0,5,2,7,5,4,0,0,0,23,38,0
45,2,15999,12,13,2,9,0,4,1,0,0,39,38,1
26,2,9888,9,12,2,13,0,4,1,0,0,44,38,0
26,2,9252,9,12,0,3,1,4,1,0,20,44,38,1
5,2,19428,11,8,3,11,1,4,1,0,0,54,38,0
11,2,3134,11,8,2,2,0,4,1,0,0,39,38,0
39,4,10143,15,9,2,11,0,4,1,0,0,44,38,0
5,2,18711,7,11,4,11,1,4,0,0,0,14,38,0
40,2,12950,9,12,0,3,1,4,0,0,0,44,38,1
22,2,19889,11,8,0,11,4,4,0,0,0,39,38,0
9,0,10447,15,9,4,0,4,4,0,0,0,14,38,0
0,2,3028,1,6,4,7,3,4,1,0,0,9,38,0
23,5,10260,8,10,2,6,0,4,1,0,0,37,38,1
28,2,15439,11,8,2,6,0,2,1,0,0,39,38,0
27,2,7992,11,8,4,2,1,2,1,0,0,39,38,0
3,1,18472,15,9,4,0,3,4,0,0,0,9,38,0
16,2,15885,11,8,2,2,5,4,0,0,0,39,38,0
6,2,769,15,9,4,11,1,4,1,0,0,39,38,0
29,4,2617,12,13,0,3,1,4,1,0,0,29,38,0
21,2,9084,11,8,2,11,0,4,1,0,0,49,38,0
37,2,9219,11,8,0,13,1,4,1,0,0,39,38,0
29,2,13140,4,2,0,2,1,4,0,0,71,44,38,0
8,2,18319,15,9,2,2,0,4,1,0,0,39,38,0
29,2,4280,15,9,0,11,1,4,0,0,0,39,38,0
19,1,4988,15,9,2,13,5,4,0,0,0,39,38,0
6,2,19238,11,8,4,7,1,4,0,0,0,24,38,0
12,2,6188,11,8,5,6,1,4,1,0,0,39,38,0
27,2,8117,15,9,2,0,5,4,0,0,75,5,38,1
2,2,142,15,9,4,0,3,4,0,0,0,15,38,0
2,2,14224,11,8,4,7,2,4,0,0,0,39,38,0
18,2,13488,11,8,2,7,5,4,0,0,0,39,38,1
10,2,17103,9,12,4,2,1,4,1,0,0,49,38,0
29,4,16299,7,11,5,2,1,4,1,0,0,39,38,0
17,2,11530,11,8,4,7,1,4,0,0,0,34,38,0
27,2,4838,15,9,2,12,0,4,1,0,0,39,38,0
28,2,3391,15,9,0,5,4,4,0,0,0,39,38,0
8,2,2894,9,12,2,3,0,4,1,0,0,54,38,1
35,3,6056,9,12,2,3,0,4,1,0,0,49,38,1
3,2,19481,15,9,4,5,3,4,1,0,0,39,38,0
11,2,4274,15,9,4,7,1,4,0,0,0,39,38,0
33,5,16702,9,12,2,10,0,4,1,0,0,39,38,1
17,2,13952,8,10,0,12,1,4,0,0,0,63,38,0
11,2,8492,5,3,2,5,0,3,1,0,61,39,32,0
24,2,19719,12,13,2,3,0,4,1,0,50,64,38,1
11,2,4400,11,8,2,0,0,4,1,0,0,39,38,0
29,4,17578,11,8,2,2,0,4,1,0,0,24,38,0
15,2,18746,15,9,2,3,0,4,1,0,0,49,38,0
24,1,1096,15,9,0,7,1,2,0,0,0,23,38,0
7,2,14768,11,8,4,5,4,2,0,0,0,39,38,0
16,2,5106,15,9,0,3,4,4,0,0,0,39,38,0
29,2,10721,10,15,2,3,0,4,1,107,0,59,38,1
14,5,20251,15,9,2,6,0,4,1,0,0,39,38,0
18,2,3139,2,7,0,2,1,4,1,0,0,49,38,1
35,2,10979,3,1,2,6,0,4,1,0,0,39,25,0
13,2,19581,1,6,4,7,3,4,0,0,0,18,38,0
17,1,14873,1,6,5,6,1,2,1,0,0,39,38,0
17,5,14677,11,8,0,13,4,4,0,0,0,39,38,0
3,2,1913,15,9,2,11,0,4,1,0,0,29,38,0
0,2,9299,1,6,4,5,3,4,1,25,0,17,38,0
15,5,3123,9,12,2,3,5,4,0,0,0,39,38,1
12,2,10724,11,8,0,4,1,4,1,0,0,39,38,0
16,2,14005,0,5,4,2,4,4,0,0,0,34,38,0
8,2,6132,11,8,2,13,0,4,1,0,0,59,38,0
19,0,15369,12,13,4,9,1,4,1,0,15,39,38,0
6,2,12339,11,8,4,5,1,4,1,0,0,69,5,0
46,3,13620,11,8,2,3,0,4,1,0,0,39,38,1
30,1,16676,12,13,2,9,0,4,1,0,0,39,38,0
23,4,12285,9,12,3,9,1,4,0,24,0,39,38,0
13,2,337,7,11,2,7,5,4,0,0,0,24,38,1
10,2,4899,15,9,4,2,3,1,1,0,51,39,29,0
16,2,12642,12,13,2,9,0,4,1,0,0,49,38,1
17,1,16580,11,8,4,4,1,2,1,3,0,59,38,0
17,1,4960,15,9,4,10,1,4,0,0,0,39,38,0
6,2,2638,15,9,2,0,0,4,1,0,0,39,38,0
25,1,18163,15,9,2,0,5,4,0,0,0,39,38,0
12,2,18733,9,12,4,9,1,4,1,0,0,39,38,0
28,2,1230,11,8,0,0,1,4,0,0,0,27,38,0
7,0,11011,11,8,4,1,3,4,1,0,0,39,38,0
27,2,4927,15,9,2,9,0,4,1,0,0,39,38,1
10,2,19374,6,4,4,2,2,4,1,0,0,39,25,0
3,2,17019,15,9,4,11,1,4,1,0,0,34,38,0
27,2,16777,11,8,6,3,4,2,0,0,0,39,38,0
34,2,1736,11,8,2,2,0,0,1,0,0,39,38,0
3,2,7007,11,8,2,6,0,4,1,0,0,39,38,0
2,2,12490,11,8,4,6,3,2,0,0,0,39,38,0
28,3,11641,15,9,2,2,0,4,1,0,0,54,38,1
43,2,14930,11,8,2,2,0,4,1,0,0,39,38,1
27,4,14365,11,8,2,11,5,4,0,0,0,39,38,1
23,2,2302,8,10,2,6,0,1,1,0,0,39,38,1
13,2,9866,11,8,2,3,5,4,0,0,0,39,38,0
21,2,18482,15,9,2,13,0,2,1,0,0,49,38,0
6,2,1598,11,8,2,13,0,4,1,0,0,59,38,0
27,2,4927,7,11,4,4,3,4,1,0,0,39,38,0
37,1,16722,11,8,2,13,0,2,1,0,0,39,38,0
15,2,6075,9,12,2,9,0,4,1,0,0,49,38,0
33,2,11267,3,1,3,2,4,4,1,0,0,39,38,0
7,2,8833,9,12,4,12,1,4,0,0,0,19,38,0
20,2,5703,11,8,2,0,5,4,0,0,0,59,38,0
35,2,766,11,8,0,13,4,4,1,0,0,39,38,0
21,2,641,15,9,2,13,0,4,1,0,0,39,38,0
32,2,11192,12,13,2,3,0,4,1,0,50,44,38,1
13,2,5113,9,12,2,12,5,4,0,0,0,15,38,1
43,2,12109,15,9,4,9,4,4,1,0,0,39,38,1
18,2,16587,11,8,4,2,1,4,1,0,0,39,38,0
13,2,17191,11,8,4,13,1,4,1,0,0,59,38,0
50,2,1385,8,10,0,7,1,4,0,0,0,23,38,0
29,2,16352,9,12,4,2,1,4,0,0,0,39,38,0
0,2,12918,6,4,4,7,1,4,1,0,0,5,38,0
5,2,16440,15,9,4,5,3,4,1,0,0,29,38,0
10,2,8059,0,5,4,7,1,4,1,0,0,39,38,0
6,2,11705,11,8,4,7,4,4,0,0,0,34,38,0
16,2,4534,7,11,2,2,0,4,1,0,0,44,31,0
26,4,8893,15,9,2,2,0,4,1,0,0,19,38,0
11,5,2203,9,12,4,9,1,4,1,0,0,19,38,0
24,2,11290,11,8,3,2,4,4,0,0,0,39,38,0
